Domain,Area,Year,Unit,Value,Flag Description
Fertilizers by Product,Afghanistan,2002,t,17900.0,Imputed value
Fertilizers by Product,Afghanistan,2003,t,33200.0,Imputed value
Fertilizers by Product,Afghanistan,2004,t,47700.0,Imputed value
Fertilizers by Product,Afghanistan,2004,t,42300.0,Imputed value
Fertilizers by Product,Afghanistan,2005,t,20577.0,Imputed value
Fertilizers by Product,Afghanistan,2006,t,68253.0,Imputed value
Fertilizers by Product,Afghanistan,2007,t,61315.0,Imputed value
Fertilizers by Product,Afghanistan,2008,t,50628.0,Imputed value
Fertilizers by Product,Afghanistan,2009,t,76599.0,Imputed value
Fertilizers by Product,Afghanistan,2010,t,72084.0,Imputed value
Fertilizers by Product,Afghanistan,2011,t,107228.0,Imputed value
Fertilizers by Product,Afghanistan,2018,t,519122.0,Official figure
Fertilizers by Product,Albania,2002,t,46293.0,Official figure
Fertilizers by Product,Albania,2003,t,44687.0,Official figure
Fertilizers by Product,Albania,2004,t,44401.0,Official figure
Fertilizers by Product,Albania,2005,t,46582.0,Official figure
Fertilizers by Product,Albania,2006,t,35515.0,Official figure
Fertilizers by Product,Albania,2007,t,36037.0,Official figure
Fertilizers by Product,Albania,2008,t,33689.0,Official figure
Fertilizers by Product,Albania,2009,t,38464.0,Official figure
Fertilizers by Product,Albania,2010,t,34993.0,Official figure
Fertilizers by Product,Albania,2011,t,36736.0,Official figure
Fertilizers by Product,Albania,2012,t,35791.0,Official figure
Fertilizers by Product,Albania,2013,t,32864.2,Official figure
Fertilizers by Product,Albania,2014,t,32864.0,Official figure
Fertilizers by Product,Albania,2015,t,37586.0,Imputed value
Fertilizers by Product,Albania,2016,t,42308.0,Official figure
Fertilizers by Product,Albania,2017,t,43967.0,Official figure
Fertilizers by Product,Albania,2018,t,14116.8,Official figure
Fertilizers by Product,Albania,2019,t,29782.84,Official figure
Fertilizers by Product,Albania,2020,t,20077.0,Official figure
Fertilizers by Product,Albania,2005,t,18.0,Imputed value
Fertilizers by Product,Albania,2006,t,45.0,Imputed value
Fertilizers by Product,Albania,2007,t,54.0,Imputed value
Fertilizers by Product,Albania,2017,t,199.9,Official figure
Fertilizers by Product,Albania,2018,t,261.99,Official figure
Fertilizers by Product,Albania,2019,t,757.6,Official figure
Fertilizers by Product,Albania,2020,t,913.0,Official figure
Fertilizers by Product,Albania,2005,t,2.0,Imputed value
Fertilizers by Product,Albania,2006,t,5.0,Imputed value
Fertilizers by Product,Albania,2007,t,118.0,Imputed value
Fertilizers by Product,Albania,2019,t,470.4,Official figure
Fertilizers by Product,Albania,2002,t,39537.0,Official figure
Fertilizers by Product,Albania,2003,t,43540.0,Official figure
Fertilizers by Product,Albania,2004,t,25928.0,Official figure
Fertilizers by Product,Albania,2005,t,27535.0,Official figure
Fertilizers by Product,Albania,2006,t,22952.0,Official figure
Fertilizers by Product,Albania,2007,t,23957.0,Official figure
Fertilizers by Product,Albania,2008,t,20696.0,Official figure
Fertilizers by Product,Albania,2009,t,24710.0,Official figure
Fertilizers by Product,Albania,2010,t,26889.0,Official figure
Fertilizers by Product,Albania,2011,t,29262.0,Official figure
Fertilizers by Product,Albania,2012,t,25657.0,Official figure
Fertilizers by Product,Albania,2013,t,26460.9,Official figure
Fertilizers by Product,Albania,2014,t,26461.0,Official figure
Fertilizers by Product,Albania,2015,t,30010.5,Imputed value
Fertilizers by Product,Albania,2016,t,33560.0,Official figure
Fertilizers by Product,Albania,2017,t,3181.0,Official figure
Fertilizers by Product,Albania,2018,t,7938.55,Official figure
Fertilizers by Product,Albania,2019,t,15886.0,Official figure
Fertilizers by Product,Albania,2020,t,11039.0,Official figure
Fertilizers by Product,Albania,2006,t,24.0,Imputed value
Fertilizers by Product,Albania,2007,t,71.0,Imputed value
Fertilizers by Product,Albania,2004,t,754.0,Official figure
Fertilizers by Product,Albania,2005,t,743.0,Official figure
Fertilizers by Product,Albania,2006,t,947.0,Official figure
Fertilizers by Product,Albania,2007,t,2172.0,Official figure
Fertilizers by Product,Albania,2008,t,2824.0,Official figure
Fertilizers by Product,Albania,2009,t,1650.0,Official figure
Fertilizers by Product,Albania,2010,t,1994.0,Official figure
Fertilizers by Product,Albania,2011,t,2468.0,Official figure
Fertilizers by Product,Albania,2012,t,3366.0,Official figure
Fertilizers by Product,Albania,2013,t,3520.0,Official figure
Fertilizers by Product,Albania,2014,t,3520.0,Official figure
Fertilizers by Product,Albania,2015,t,3560.0,Imputed value
Fertilizers by Product,Albania,2016,t,3600.0,Official figure
Fertilizers by Product,Albania,2017,t,2105.0,Official figure
Fertilizers by Product,Albania,2018,t,15039.1,Official figure
Fertilizers by Product,Albania,2019,t,25400.0,Official figure
Fertilizers by Product,Albania,2020,t,32677.0,Official figure
Fertilizers by Product,Albania,2007,t,1997.0,Imputed value
Fertilizers by Product,Albania,2008,t,2727.0,Imputed value
Fertilizers by Product,Albania,2009,t,1835.0,Imputed value
Fertilizers by Product,Albania,2005,t,1500.0,Imputed value
Fertilizers by Product,Albania,2006,t,38.0,Imputed value
Fertilizers by Product,Albania,2007,t,148.0,Imputed value
Fertilizers by Product,Albania,2005,t,26.0,Imputed value
Fertilizers by Product,Albania,2006,t,27.0,Imputed value
Fertilizers by Product,Albania,2007,t,10.0,Imputed value
Fertilizers by Product,Albania,2018,t,381.31,Official figure
Fertilizers by Product,Albania,2019,t,543.98,Official figure
Fertilizers by Product,Albania,2020,t,370.0,Official figure
Fertilizers by Product,Albania,2005,t,9.0,Imputed value
Fertilizers by Product,Albania,2006,t,39.0,Imputed value
Fertilizers by Product,Albania,2007,t,11.0,Imputed value
Fertilizers by Product,Albania,2005,t,147.0,Imputed value
Fertilizers by Product,Albania,2006,t,89.0,Imputed value
Fertilizers by Product,Albania,2007,t,4.0,Imputed value
Fertilizers by Product,Albania,2013,t,528.0,Official figure
Fertilizers by Product,Albania,2014,t,528.0,Official figure
Fertilizers by Product,Albania,2015,t,527.5,Imputed value
Fertilizers by Product,Albania,2016,t,527.0,Official figure
Fertilizers by Product,Albania,2017,t,637.0,Official figure
Fertilizers by Product,Albania,2018,t,189.45,Official figure
Fertilizers by Product,Albania,2019,t,108.44,Official figure
Fertilizers by Product,Albania,2020,t,431.0,Official figure
Fertilizers by Product,Albania,2019,t,13.93,Official figure
Fertilizers by Product,Albania,2004,t,22354.0,Official figure
Fertilizers by Product,Albania,2005,t,22518.0,Official figure
Fertilizers by Product,Albania,2006,t,19419.0,Official figure
Fertilizers by Product,Albania,2007,t,17285.0,Official figure
Fertilizers by Product,Albania,2008,t,17493.0,Official figure
Fertilizers by Product,Albania,2009,t,20084.0,Official figure
Fertilizers by Product,Albania,2010,t,19490.0,Official figure
Fertilizers by Product,Albania,2011,t,20675.0,Official figure
Fertilizers by Product,Albania,2012,t,21431.0,Official figure
Fertilizers by Product,Albania,2013,t,22187.95,Official figure
Fertilizers by Product,Albania,2014,t,22188.0,Official figure
Fertilizers by Product,Albania,2015,t,31275.0,Imputed value
Fertilizers by Product,Albania,2016,t,40362.0,Official figure
Fertilizers by Product,Albania,2017,t,42358.0,Official figure
Fertilizers by Product,Albania,2018,t,16196.67,Official figure
Fertilizers by Product,Albania,2019,t,8631.0,Official figure
Fertilizers by Product,Albania,2020,t,28085.0,Official figure
Fertilizers by Product,Albania,2005,t,11059.0,Imputed value
Fertilizers by Product,Albania,2006,t,11797.0,Imputed value
Fertilizers by Product,Albania,2007,t,15897.0,Imputed value
Fertilizers by Product,Albania,2002,t,33896.0,Official figure
Fertilizers by Product,Albania,2003,t,31676.0,Official figure
Fertilizers by Product,Albania,2004,t,35794.0,Official figure
Fertilizers by Product,Albania,2005,t,35952.0,Official figure
Fertilizers by Product,Albania,2006,t,30789.0,Official figure
Fertilizers by Product,Albania,2007,t,32116.0,Official figure
Fertilizers by Product,Albania,2008,t,28935.0,Official figure
Fertilizers by Product,Albania,2009,t,35564.0,Official figure
Fertilizers by Product,Albania,2010,t,31371.0,Official figure
Fertilizers by Product,Albania,2011,t,41193.0,Official figure
Fertilizers by Product,Albania,2012,t,38763.0,Official figure
Fertilizers by Product,Albania,2013,t,31329.23,Official figure
Fertilizers by Product,Albania,2014,t,31329.0,Official figure
Fertilizers by Product,Albania,2015,t,39732.0,Imputed value
Fertilizers by Product,Albania,2016,t,48135.0,Official figure
Fertilizers by Product,Albania,2017,t,51234.0,Official figure
Fertilizers by Product,Albania,2018,t,35435.04,Official figure
Fertilizers by Product,Albania,2019,t,46520.0,Official figure
Fertilizers by Product,Albania,2020,t,40810.0,Official figure
Fertilizers by Product,Algeria,2012,t,0.0,Estimated value
Fertilizers by Product,Algeria,2013,t,0.0,Estimated value
Fertilizers by Product,Algeria,2014,t,0.0,Estimated value
Fertilizers by Product,Algeria,2015,t,0.0,Estimated value
Fertilizers by Product,Algeria,2016,t,0.0,Estimated value
Fertilizers by Product,Algeria,2009,t,7004.0,Imputed value
Fertilizers by Product,Algeria,2010,t,24541.0,Imputed value
Fertilizers by Product,Algeria,2011,t,49000.0,Imputed value
Fertilizers by Product,Algeria,2012,t,13000.0,Estimated value
Fertilizers by Product,Algeria,2013,t,13000.0,Estimated value
Fertilizers by Product,Algeria,2014,t,85000.0,Estimated value
Fertilizers by Product,Algeria,2015,t,85000.0,Imputed value
